,Index1,Index2,Interaction Strength
236,15909.0,26709.0,1.6981952
237,3401.0,10085.0,1.6981769
238,12877.0,23042.0,1.6981587
239,11543.0,26838.0,1.6981255
240,9308.0,12877.0,1.6981071
241,12385.0,18444.0,1.6980711
242,15171.0,25972.0,1.6980579
243,19038.0,25972.0,1.6980143
244,2993.0,9787.0,1.698008
245,4521.0,17317.0,1.6980019
246,562.0,10289.0,1.6979922
247,23966.0,27260.0,1.6979754
248,9465.0,12668.0,1.6979444
249,8342.0,12022.0,1.6979336
250,6497.0,17658.0,1.6979166
251,2829.0,13281.0,1.6979042
252,823.0,27859.0,1.6978403
253,15440.0,20497.0,1.6978087
254,160.0,12565.0,1.6977786
255,24275.0,24592.0,1.6977706
256,17532.0,27260.0,1.6977589
257,4794.0,22859.0,1.6977571
258,1659.0,9787.0,1.6977516
259,3230.0,4994.0,1.6977483
260,14860.0,15309.0,1.6977185
261,7735.0,16825.0,1.6977026
262,4675.0,5175.0,1.6976573
263,13161.0,16738.0,1.69764
264,7637.0,10384.0,1.697627
265,5175.0,16609.0,1.6976002
266,8614.0,21834.0,1.6975788
267,3458.0,17381.0,1.6975706
268,12385.0,19401.0,1.6975685
269,3001.0,8614.0,1.6975313
270,14078.0,15886.0,1.6975213
271,15909.0,25153.0,1.6975211
272,3335.0,15909.0,1.6975096
273,999.0,17317.0,1.6974534
274,16798.0,25724.0,1.6974376
275,844.0,15211.0,1.6973894
276,16798.0,18445.0,1.6973797
277,5175.0,19714.0,1.6973747
278,25972.0,27904.0,1.6973245
279,5862.0,12565.0,1.6973225
280,6925.0,26806.0,1.6972526
281,2628.0,25215.0,1.6972244
282,12385.0,18425.0,1.6971517
283,419.0,12385.0,1.6971107
284,10681.0,15909.0,1.6970816
285,5282.0,12385.0,1.6970781
286,2630.0,17381.0,1.6970447
287,13566.0,27875.0,1.6969671
288,4547.0,12385.0,1.696947
289,8075.0,27260.0,1.6969068
290,4994.0,14860.0,1.696906
291,4676.0,9465.0,1.696895
292,15556.0,18266.0,1.696874
293,6535.0,16798.0,1.6968598
294,13371.0,15263.0,1.6968544
295,10319.0,17929.0,1.6968333
296,2808.0,27260.0,1.6968255
297,8467.0,17929.0,1.6967368
298,14177.0,15909.0,1.6967207
299,14860.0,22288.0,1.6967044
300,2120.0,25648.0,1.696692
301,6410.0,23901.0,1.69666
302,16825.0,27388.0,1.6966165
303,6410.0,23244.0,1.6965939
304,18445.0,27443.0,1.6965939
305,10085.0,27687.0,1.6965742
